ID,5367
Name,Rare Drop
car.Location.X,-0.390000
car.Location.Y,0.000000
car.Location.Z,18.000000
car.LinearVelocity.X,0.000000
car.LinearVelocity.Y,0.000000
car.LinearVelocity.Z,0.351000
car.Quaternion.X,0.000003
car.Quaternion.Y,-0.009859
car.Quaternion.Z,0.000003
car.Quaternion.W,0.999951
car.AngularVelocity.X,0.000000
car.AngularVelocity.Y,0.000410
car.AngularVelocity.Z,0.000000
car.Wheel0.LocalRestPosition.X,51.239998
car.Wheel0.LocalRestPosition.Y,-25.920000
car.Wheel0.LocalRestPosition.Z,-5.970000
car.Wheel0.PresetRestPosition.X,0.000000
car.Wheel0.PresetRestPosition.Y,0.000000
car.Wheel0.PresetRestPosition.Z,0.000000
car.Wheel0.WheelRadius,15.000000
car.Wheel0.GetSuspensionDistance,-1.956136
car.Wheel1.LocalRestPosition.X,51.239998
car.Wheel1.LocalRestPosition.Y,25.920000
car.Wheel1.LocalRestPosition.Z,-5.970000
car.Wheel1.PresetRestPosition.X,0.000000
car.Wheel1.PresetRestPosition.Y,0.000000
car.Wheel1.PresetRestPosition.Z,0.000000
car.Wheel1.WheelRadius,15.000000
car.Wheel1.GetSuspensionDistance,-1.955859
car.Wheel2.LocalRestPosition.X,-34.290001
car.Wheel2.LocalRestPosition.Y,-29.529999
car.Wheel2.LocalRestPosition.Z,-4.320000
car.Wheel2.PresetRestPosition.X,0.000000
car.Wheel2.PresetRestPosition.Y,0.000000
car.Wheel2.PresetRestPosition.Z,0.000000
car.Wheel2.WheelRadius,15.000000
car.Wheel2.GetSuspensionDistance,-1.992889
car.Wheel3.LocalRestPosition.X,-34.290001
car.Wheel3.LocalRestPosition.Y,29.529999
car.Wheel3.LocalRestPosition.Z,-4.320000
car.Wheel3.PresetRestPosition.X,0.000000
car.Wheel3.PresetRestPosition.Y,0.000000
car.Wheel3.PresetRestPosition.Z,0.000000
car.Wheel3.WheelRadius,15.000000
car.Wheel3.GetSuspensionDistance,-1.992570
car.LocalCollisionExtent.X,59.003689
car.LocalCollisionExtent.Y,42.099705
car.LocalCollisionExtent.Z,18.079536
car.LocalCollisionOffset.X,13.875660
car.LocalCollisionOffset.Y,0.000000
car.LocalCollisionOffset.Z,20.754988
car.CarMesh.Translation.X,0.000000
car.CarMesh.Translation.Y,0.000000
car.CarMesh.Translation.Z,0.000000
car.CarMesh.GetPosition.X,-0.390000
car.CarMesh.GetPosition.Y,0.000000
car.CarMesh.GetPosition.Z,18.000000
